,race,city,eoe,call
0,w,c,1.0,0.0
1,w,c,1.0,0.0
2,b,c,1.0,0.0
3,b,c,1.0,0.0
4,w,c,1.0,0.0
5,w,c,1.0,0.0
6,w,c,1.0,0.0
7,b,c,1.0,0.0
8,b,c,1.0,0.0
9,b,c,1.0,0.0
10,b,c,1.0,0.0
11,w,c,1.0,0.0
12,b,c,1.0,0.0
13,w,c,1.0,0.0
14,b,c,1.0,0.0
15,w,c,1.0,0.0
16,w,c,1.0,0.0
17,b,c,1.0,0.0
18,w,c,0.0,0.0
19,b,c,0.0,0.0
20,b,c,0.0,0.0
21,w,c,0.0,0.0
22,w,c,0.0,0.0
23,w,c,0.0,0.0
24,w,c,0.0,0.0
25,b,c,0.0,0.0
26,b,c,0.0,0.0
27,w,c,0.0,0.0
28,b,c,0.0,0.0
29,b,c,0.0,0.0
30,w,c,0.0,0.0
31,b,c,0.0,0.0
32,w,c,0.0,0.0
33,b,c,0.0,0.0
34,w,c,0.0,0.0
35,w,c,1.0,0.0
36,b,c,1.0,0.0
37,b,c,0.0,0.0
38,b,c,1.0,0.0
39,w,c,0.0,0.0
40,w,c,1.0,0.0
41,b,c,0.0,0.0
42,w,c,0.0,0.0
43,w,c,0.0,0.0
44,b,c,0.0,0.0
45,b,c,0.0,0.0
46,w,c,0.0,0.0
47,b,c,0.0,0.0
48,w,c,0.0,0.0
49,b,c,0.0,0.0
50,b,c,0.0,0.0
51,w,c,0.0,0.0
52,w,c,0.0,0.0
53,b,c,0.0,0.0
54,w,c,0.0,0.0
55,b,c,0.0,0.0
56,w,c,0.0,0.0
57,b,c,0.0,0.0
58,w,c,1.0,0.0
59,b,c,1.0,0.0
60,b,c,1.0,0.0
61,w,c,1.0,0.0
62,w,c,0.0,0.0
63,w,c,1.0,0.0
64,b,c,0.0,0.0
65,b,c,1.0,0.0
66,b,c,1.0,0.0
67,w,c,1.0,0.0
68,b,c,0.0,0.0
69,w,c,0.0,0.0
70,w,c,1.0,0.0
71,b,c,1.0,0.0
72,b,c,0.0,0.0
73,w,c,1.0,0.0
74,w,c,0.0,0.0
75,b,c,1.0,0.0
76,w,c,1.0,0.0
77,b,c,1.0,0.0
78,b,c,1.0,0.0
79,w,c,1.0,0.0
80,b,c,0.0,0.0
81,w,c,0.0,0.0
82,w,c,0.0,0.0
83,b,c,0.0,0.0
84,b,c,0.0,0.0
85,w,c,0.0,1.0
86,w,c,0.0,0.0
87,b,c,1.0,0.0
88,w,c,1.0,0.0
89,w,c,1.0,0.0
90,b,c,0.0,0.0
91,w,c,0.0,0.0
92,b,c,1.0,0.0
93,b,c,0.0,0.0
94,b,c,1.0,0.0
95,w,c,0.0,1.0
96,b,c,0.0,0.0
97,w,c,1.0,0.0
98,b,c,1.0,0.0
99,w,c,1.0,0.0
100,b,c,1.0,0.0
101,w,c,1.0,0.0
102,b,c,0.0,0.0
103,w,c,0.0,0.0
104,w,c,0.0,0.0
105,w,c,1.0,1.0
106,b,c,0.0,0.0
107,b,c,1.0,1.0
108,b,c,0.0,0.0
109,w,c,0.0,0.0
110,w,c,1.0,0.0
111,b,c,1.0,0.0
112,w,c,1.0,0.0
113,b,c,1.0,0.0
114,w,c,1.0,0.0
115,b,c,1.0,0.0
116,w,c,1.0,0.0
117,b,c,1.0,0.0
118,b,c,1.0,0.0
119,w,c,1.0,0.0
120,b,c,1.0,0.0
121,w,c,1.0,0.0
122,w,c,0.0,0.0
123,w,c,0.0,0.0
124,b,c,0.0,0.0
125,b,c,0.0,0.0
126,b,c,0.0,1.0
127,w,c,0.0,1.0
128,b,c,1.0,0.0
129,w,c,1.0,0.0
130,w,c,1.0,0.0
131,b,c,1.0,0.0
132,w,c,1.0,0.0
133,b,c,1.0,0.0
134,w,c,0.0,0.0
135,w,c,0.0,0.0
136,b,c,0.0,0.0
137,b,c,0.0,0.0
138,b,c,1.0,0.0
139,w,c,1.0,0.0
140,w,c,1.0,0.0
141,b,c,0.0,0.0
142,b,c,1.0,0.0
143,w,c,0.0,0.0
144,b,c,0.0,0.0
145,w,c,0.0,0.0
146,w,c,1.0,0.0
147,w,c,1.0,0.0
148,b,c,1.0,0.0
149,b,c,1.0,0.0
150,w,c,0.0,0.0
151,b,c,0.0,0.0
152,w,c,0.0,0.0
153,b,c,0.0,0.0
154,b,c,0.0,0.0
155,w,c,0.0,0.0
156,b,c,0.0,0.0
157,w,c,0.0,0.0
158,b,c,0.0,0.0
159,b,c,0.0,0.0
160,w,c,0.0,0.0
161,b,c,0.0,0.0
162,w,c,0.0,0.0
163,w,c,0.0,0.0
164,w,c,0.0,0.0
165,w,c,1.0,1.0
166,b,c,1.0,0.0
167,b,c,0.0,0.0
168,w,c,1.0,1.0
169,w,c,0.0,0.0
170,b,c,0.0,0.0
171,b,c,1.0,1.0
172,b,b,1.0,0.0
173,w,b,1.0,0.0
174,w,b,1.0,0.0
175,w,b,0.0,0.0
176,w,b,0.0,0.0
177,w,b,0.0,0.0
178,w,b,1.0,0.0
179,w,b,0.0,0.0
180,b,b,0.0,0.0
181,w,b,1.0,0.0
182,w,b,1.0,0.0
183,w,b,1.0,0.0
184,b,b,1.0,0.0
185,b,b,0.0,0.0
186,b,b,1.0,0.0
187,b,b,0.0,0.0
188,b,b,1.0,0.0
189,b,b,0.0,0.0
190,b,b,1.0,0.0
191,w,b,0.0,0.0
192,w,b,1.0,0.0
193,b,b,1.0,0.0
194,w,b,1.0,0.0
195,w,b,0.0,0.0
196,b,b,1.0,0.0
197,b,b,1.0,0.0
198,b,b,0.0,0.0
199,b,b,0.0,0.0
200,b,c,1.0,1.0
201,w,c,1.0,1.0
202,w,c,0.0,0.0
203,b,c,0.0,0.0
204,w,c,0.0,0.0
205,b,c,0.0,0.0
206,w,c,0.0,0.0
207,b,c,0.0,0.0
208,b,c,0.0,0.0
209,w,c,0.0,0.0
210,w,c,0.0,1.0
211,b,c,0.0,0.0
212,b,c,0.0,0.0
213,w,c,0.0,0.0
214,w,c,0.0,0.0
215,w,c,0.0,0.0
216,b,c,0.0,0.0
217,b,c,0.0,0.0
218,b,c,0.0,0.0
219,w,c,0.0,0.0
220,w,c,0.0,0.0
221,w,c,0.0,0.0
222,b,c,0.0,0.0
223,b,c,0.0,0.0
224,b,c,0.0,0.0
225,w,c,0.0,0.0
226,b,c,0.0,0.0
227,w,c,0.0,0.0
228,w,c,0.0,0.0
229,w,c,0.0,0.0
230,b,c,0.0,0.0
231,b,c,0.0,0.0
232,w,c,0.0,0.0
233,w,c,0.0,0.0
234,b,c,0.0,0.0
235,b,c,0.0,0.0
236,b,c,0.0,0.0
237,w,c,0.0,0.0
238,w,c,0.0,0.0
239,b,c,0.0,0.0
240,b,c,0.0,0.0
241,w,c,0.0,0.0
242,b,c,0.0,0.0
243,w,c,0.0,0.0
244,b,c,0.0,0.0
245,w,c,0.0,0.0
246,w,c,0.0,0.0
247,w,c,0.0,1.0
248,b,c,0.0,0.0
249,b,c,0.0,0.0
250,w,c,0.0,0.0
251,b,c,0.0,0.0
252,w,c,0.0,0.0
253,b,c,0.0,0.0
254,b,c,0.0,0.0
255,w,c,0.0,0.0
256,b,c,0.0,0.0
257,w,c,0.0,0.0
258,w,c,0.0,0.0
259,b,c,0.0,1.0
260,w,c,1.0,0.0
261,b,c,0.0,0.0
262,w,c,0.0,0.0
263,b,c,1.0,0.0
264,w,c,0.0,0.0
265,b,c,0.0,0.0
266,w,c,0.0,0.0
267,w,c,0.0,1.0
268,b,c,0.0,0.0
269,b,c,0.0,1.0
270,w,c,1.0,1.0
271,b,c,1.0,1.0
272,w,c,1.0,1.0
273,b,c,1.0,0.0
274,b,c,0.0,0.0
275,w,c,1.0,0.0
276,w,c,1.0,0.0
277,w,c,0.0,0.0
278,b,c,1.0,0.0
279,b,c,1.0,0.0
280,b,c,0.0,0.0
281,w,c,0.0,0.0
282,w,c,0.0,0.0
283,w,c,1.0,0.0
284,b,c,0.0,0.0
285,b,c,1.0,0.0
286,b,c,0.0,0.0
287,b,c,0.0,0.0
288,w,c,0.0,0.0
289,w,c,0.0,0.0
290,b,c,0.0,0.0
291,w,c,0.0,0.0
292,w,c,0.0,0.0
293,w,c,0.0,0.0
294,b,c,0.0,0.0
295,b,c,0.0,0.0
296,w,c,1.0,0.0
297,w,c,1.0,0.0
298,b,c,1.0,0.0
299,b,c,1.0,0.0
300,w,c,1.0,0.0
301,w,c,1.0,0.0
302,b,c,1.0,0.0
303,b,c,1.0,0.0
304,b,c,0.0,0.0
305,w,c,0.0,0.0
306,b,c,0.0,0.0
307,w,c,0.0,0.0
308,w,c,0.0,0.0
309,b,c,0.0,0.0
310,w,c,0.0,0.0
311,w,c,0.0,0.0
312,b,c,0.0,0.0
313,b,c,0.0,0.0
314,w,c,0.0,0.0
315,b,c,0.0,0.0
316,w,c,0.0,0.0
317,w,c,0.0,0.0
318,b,c,0.0,0.0
319,b,c,0.0,0.0
320,b,c,0.0,0.0
321,w,c,0.0,0.0
322,b,c,0.0,0.0
323,w,c,0.0,0.0
324,w,c,0.0,0.0
325,w,c,0.0,0.0
326,b,c,0.0,0.0
327,w,c,0.0,0.0
328,b,c,0.0,0.0
329,b,c,0.0,0.0
330,w,c,0.0,0.0
331,b,c,0.0,0.0
332,w,c,0.0,0.0
333,w,c,0.0,0.0
334,b,c,0.0,0.0
335,b,c,0.0,0.0
336,w,c,0.0,0.0
337,b,c,0.0,0.0
338,b,c,0.0,0.0
339,w,c,0.0,0.0
340,w,c,0.0,0.0
341,b,c,0.0,0.0
342,w,c,0.0,0.0
343,w,c,0.0,0.0
344,b,c,0.0,0.0
345,b,c,0.0,0.0
346,w,c,0.0,0.0
347,b,c,0.0,0.0
348,w,c,0.0,1.0
349,b,c,0.0,0.0
350,w,c,0.0,0.0
351,w,c,0.0,0.0
352,b,c,0.0,0.0
353,b,c,0.0,0.0
354,b,b,0.0,0.0
355,b,b,0.0,0.0
356,w,b,0.0,0.0
357,w,b,1.0,0.0
358,w,b,0.0,0.0
359,b,b,1.0,0.0
360,w,b,0.0,0.0
361,w,b,1.0,0.0
362,w,b,0.0,0.0
363,w,b,0.0,0.0
364,b,b,1.0,0.0
365,w,b,0.0,0.0
366,b,b,0.0,0.0
367,b,b,0.0,0.0
368,b,b,0.0,0.0
369,b,b,0.0,0.0
370,b,b,0.0,0.0
371,w,b,0.0,0.0
372,w,b,0.0,0.0
373,w,b,0.0,0.0
374,b,b,0.0,0.0
375,b,b,0.0,0.0
376,w,b,0.0,0.0
377,b,b,0.0,0.0
378,w,b,0.0,0.0
379,b,b,0.0,0.0
380,b,b,0.0,0.0
381,w,b,0.0,0.0
382,w,b,1.0,1.0
383,b,b,1.0,1.0
384,w,b,1.0,0.0
385,b,b,1.0,0.0
386,w,b,1.0,0.0
387,b,b,1.0,0.0
388,w,b,1.0,1.0
389,b,b,1.0,0.0
390,w,b,0.0,0.0
391,b,b,0.0,0.0
392,w,b,0.0,0.0
393,b,b,0.0,0.0
394,b,b,0.0,0.0
395,w,b,0.0,0.0
396,w,b,0.0,0.0
397,b,b,0.0,0.0
398,w,b,0.0,0.0
399,w,b,0.0,0.0
400,b,b,0.0,0.0
401,b,b,0.0,0.0
402,w,b,0.0,0.0
403,b,b,0.0,0.0
404,w,b,0.0,0.0
405,b,b,0.0,0.0
406,w,b,0.0,0.0
407,b,b,0.0,0.0
408,b,b,0.0,0.0
409,w,b,0.0,0.0
410,w,b,0.0,0.0
411,b,b,0.0,0.0
412,b,b,0.0,0.0
413,w,b,0.0,1.0
414,w,b,0.0,0.0
415,b,b,0.0,0.0
416,b,b,0.0,0.0
417,w,b,0.0,0.0
418,w,b,0.0,0.0
419,b,b,0.0,0.0
420,w,b,0.0,0.0
421,b,b,0.0,0.0
422,w,b,0.0,0.0
423,b,b,0.0,0.0
424,w,b,0.0,0.0
425,w,b,0.0,0.0
426,b,b,0.0,1.0
427,b,b,0.0,1.0
428,w,b,0.0,0.0
429,b,b,0.0,0.0
430,w,b,0.0,0.0
431,b,b,0.0,0.0
432,w,b,0.0,0.0
433,w,b,0.0,0.0
434,b,b,0.0,0.0
435,b,b,0.0,0.0
436,w,b,0.0,0.0
437,w,b,0.0,0.0
438,b,b,0.0,0.0
439,b,b,0.0,0.0
440,w,b,1.0,0.0
441,b,b,1.0,0.0
442,w,b,1.0,1.0
443,b,b,1.0,0.0
444,b,c,1.0,0.0
445,w,c,1.0,0.0
446,b,c,1.0,0.0
447,w,c,1.0,1.0
448,w,c,0.0,0.0
449,w,c,0.0,0.0
450,b,c,0.0,0.0
451,b,c,0.0,0.0
452,b,c,0.0,0.0
453,w,c,0.0,0.0
454,b,c,0.0,0.0
455,w,c,0.0,0.0
456,w,c,1.0,0.0
457,w,c,1.0,0.0
458,b,c,1.0,0.0
459,b,c,1.0,0.0
460,w,c,0.0,0.0
461,w,c,0.0,0.0
462,b,c,0.0,0.0
463,b,c,0.0,0.0
464,b,c,0.0,0.0
465,w,c,0.0,0.0
466,b,c,0.0,0.0
467,w,c,0.0,0.0
468,w,c,0.0,0.0
469,b,c,0.0,0.0
470,w,c,0.0,0.0
471,b,c,0.0,0.0
472,w,c,0.0,1.0
473,b,c,0.0,0.0
474,b,c,0.0,1.0
475,w,c,0.0,1.0
476,b,c,0.0,1.0
477,w,c,0.0,1.0
478,b,c,0.0,1.0
479,w,c,0.0,1.0
480,w,c,0.0,0.0
481,b,c,0.0,0.0
482,b,c,0.0,0.0
483,w,c,0.0,0.0
484,w,c,0.0,0.0
485,b,c,0.0,0.0
486,w,c,0.0,0.0
487,b,c,0.0,0.0
488,w,c,0.0,0.0
489,w,c,0.0,0.0
490,b,c,0.0,0.0
491,b,c,0.0,0.0
492,w,c,1.0,0.0
493,w,c,1.0,0.0
494,b,c,0.0,0.0
495,w,c,0.0,0.0
496,b,c,0.0,0.0
497,b,c,1.0,0.0
498,b,c,1.0,0.0
499,w,c,0.0,0.0
500,w,c,1.0,0.0
501,w,c,1.0,0.0
502,b,c,1.0,0.0
503,b,c,1.0,0.0
504,b,c,1.0,0.0
505,w,c,1.0,0.0
506,w,c,1.0,0.0
507,b,c,1.0,0.0
508,b,c,0.0,0.0
509,w,c,0.0,0.0
510,w,c,0.0,0.0
511,b,c,0.0,0.0
512,w,c,0.0,0.0
513,b,c,0.0,0.0
514,w,c,0.0,0.0
515,b,c,0.0,0.0
516,w,c,0.0,0.0
517,b,c,0.0,0.0
518,w,c,0.0,0.0
519,b,c,0.0,0.0
520,w,c,0.0,0.0
521,b,c,0.0,0.0
522,w,c,1.0,0.0
523,b,c,1.0,0.0
524,w,c,1.0,0.0
525,b,c,1.0,0.0
526,w,c,0.0,0.0
527,w,c,0.0,0.0
528,b,c,0.0,0.0
529,b,c,0.0,0.0
530,w,c,1.0,0.0
531,b,c,1.0,0.0
532,b,c,1.0,0.0
533,w,c,1.0,0.0
534,b,c,0.0,0.0
535,w,c,0.0,0.0
536,w,c,0.0,0.0
537,b,c,0.0,0.0
538,w,c,0.0,0.0
539,b,c,0.0,0.0
540,b,c,0.0,0.0
541,b,c,0.0,0.0
542,w,c,0.0,0.0
543,w,c,0.0,0.0
544,b,b,1.0,0.0
545,w,b,1.0,0.0
546,w,b,1.0,0.0
547,w,b,0.0,0.0
548,w,b,0.0,0.0
549,w,b,0.0,0.0
550,w,b,0.0,0.0
551,b,b,1.0,0.0
552,w,b,0.0,0.0
553,w,b,0.0,0.0
554,w,b,0.0,0.0
555,b,b,0.0,0.0
556,b,b,0.0,0.0
557,w,b,0.0,0.0
558,b,b,0.0,0.0
559,b,b,1.0,0.0
560,b,b,0.0,0.0
561,b,b,0.0,0.0
562,b,b,0.0,0.0
563,b,b,0.0,0.0
564,w,b,0.0,0.0
565,w,b,1.0,0.0
566,w,b,1.0,0.0
567,b,b,0.0,0.0
568,b,b,1.0,0.0
569,b,b,0.0,0.0
570,w,b,0.0,0.0
571,b,b,0.0,0.0
572,w,b,1.0,0.0
573,b,b,1.0,0.0
574,b,b,1.0,0.0
575,w,b,1.0,0.0
576,b,b,0.0,1.0
577,w,b,0.0,1.0
578,b,b,0.0,0.0
579,w,b,0.0,0.0
580,b,b,0.0,0.0
581,b,b,0.0,0.0
582,w,b,0.0,1.0
583,w,b,0.0,0.0
584,b,b,1.0,0.0
585,w,b,1.0,0.0
586,w,b,1.0,0.0
587,b,b,1.0,0.0
588,w,b,0.0,0.0
589,b,b,0.0,0.0
590,w,b,0.0,0.0
591,b,b,0.0,0.0
592,w,b,0.0,1.0
593,b,b,0.0,0.0
594,b,b,0.0,0.0
595,w,b,0.0,1.0
596,w,b,0.0,0.0
597,w,b,0.0,0.0
598,b,b,0.0,0.0
599,b,b,0.0,0.0
600,w,b,0.0,1.0
601,w,b,0.0,0.0
602,b,b,0.0,0.0
603,b,b,0.0,0.0
604,b,c,1.0,0.0
605,w,c,1.0,0.0
606,w,c,1.0,0.0
607,b,c,1.0,0.0
608,w,c,0.0,0.0
609,b,c,0.0,0.0
610,b,c,0.0,0.0
611,w,c,0.0,0.0
612,w,c,0.0,0.0
613,b,c,0.0,0.0
614,b,c,0.0,0.0
615,w,c,0.0,0.0
616,w,c,0.0,0.0
617,b,c,0.0,0.0
618,b,c,0.0,0.0
619,w,c,0.0,0.0
620,b,c,0.0,0.0
621,w,c,0.0,0.0
622,w,c,0.0,0.0
623,b,c,0.0,0.0
624,w,c,0.0,0.0
625,b,c,0.0,0.0
626,w,c,0.0,0.0
627,b,c,0.0,0.0
628,b,c,0.0,0.0
629,w,c,0.0,0.0
630,w,c,0.0,0.0
631,b,c,0.0,0.0
632,w,c,0.0,0.0
633,b,c,0.0,0.0
634,b,c,0.0,0.0
635,w,c,0.0,0.0
636,b,c,1.0,0.0
637,b,c,1.0,0.0
638,w,c,1.0,0.0
639,w,c,1.0,0.0
640,w,c,0.0,0.0
641,w,c,0.0,0.0
642,b,c,0.0,0.0
643,b,c,0.0,0.0
644,w,c,1.0,0.0
645,w,c,1.0,0.0
646,b,c,1.0,0.0
647,b,c,1.0,0.0
648,w,c,0.0,0.0
649,w,c,1.0,0.0
650,b,c,1.0,0.0
651,b,c,0.0,0.0
652,w,c,1.0,0.0
653,b,c,1.0,0.0
654,w,c,1.0,0.0
655,w,c,1.0,0.0
656,b,c,1.0,0.0
657,b,c,1.0,0.0
658,w,c,1.0,0.0
659,b,c,1.0,0.0
660,w,c,1.0,0.0
661,b,c,1.0,0.0
662,w,c,0.0,0.0
663,b,c,0.0,0.0
664,w,c,0.0,0.0
665,b,c,0.0,0.0
666,w,c,1.0,0.0
667,b,c,1.0,0.0
668,w,c,1.0,0.0
669,b,c,1.0,0.0
670,w,c,0.0,0.0
671,b,c,0.0,0.0
672,w,c,0.0,0.0
673,b,c,0.0,0.0
674,w,c,1.0,0.0
675,b,c,1.0,0.0
676,b,c,1.0,0.0
677,w,c,1.0,0.0
678,w,c,1.0,0.0
679,b,c,1.0,0.0
680,w,c,1.0,0.0
681,b,c,1.0,0.0
682,w,c,0.0,0.0
683,b,c,0.0,0.0
684,b,c,0.0,0.0
685,w,c,0.0,0.0
686,b,c,0.0,0.0
687,w,c,0.0,0.0
688,w,c,0.0,0.0
689,b,c,0.0,0.0
690,w,c,0.0,0.0
691,b,c,0.0,0.0
692,w,c,0.0,0.0
693,b,c,0.0,0.0
694,b,b,0.0,0.0
695,w,b,0.0,0.0
696,w,b,1.0,0.0
697,w,b,0.0,0.0
698,w,b,0.0,0.0
699,w,b,0.0,0.0
700,w,b,0.0,0.0
701,w,b,1.0,0.0
702,w,b,0.0,0.0
703,w,b,0.0,0.0
704,b,b,0.0,0.0
705,w,b,0.0,0.0
706,w,b,1.0,0.0
707,b,b,0.0,0.0
708,w,b,0.0,0.0
709,b,b,1.0,0.0
710,b,b,0.0,0.0
711,b,b,1.0,0.0
712,b,b,1.0,0.0
713,b,b,0.0,0.0
714,b,b,0.0,0.0
715,b,b,0.0,0.0
716,w,b,0.0,0.0
717,b,b,0.0,0.0
718,w,b,0.0,0.0
719,b,b,1.0,0.0
720,w,b,1.0,0.0
721,w,b,0.0,0.0
722,b,b,0.0,0.0
723,b,b,0.0,0.0
724,b,b,0.0,0.0
725,b,b,0.0,0.0
726,w,b,0.0,0.0
727,b,b,0.0,0.0
728,w,b,0.0,0.0
729,b,b,0.0,0.0
730,b,b,1.0,0.0
731,w,b,1.0,0.0
732,b,b,1.0,0.0
733,w,b,1.0,0.0
734,w,b,0.0,1.0
735,b,b,0.0,1.0
736,w,b,0.0,0.0
737,b,b,0.0,0.0
738,w,b,0.0,0.0
739,b,b,0.0,0.0
740,w,b,0.0,0.0
741,b,b,0.0,0.0
742,b,c,1.0,0.0
743,w,c,1.0,0.0
744,w,c,1.0,0.0
745,b,c,1.0,0.0
746,w,c,0.0,0.0
747,b,c,0.0,0.0
748,w,c,1.0,0.0
749,b,c,1.0,0.0
750,b,c,1.0,0.0
751,w,c,1.0,0.0
752,w,c,0.0,0.0
753,w,c,0.0,0.0
754,b,c,0.0,0.0
755,b,c,0.0,0.0
756,w,c,0.0,1.0
757,b,c,0.0,0.0
758,w,c,0.0,1.0
759,b,c,0.0,0.0
760,w,c,0.0,0.0
761,w,c,0.0,0.0
762,b,c,0.0,0.0
763,b,c,0.0,0.0
764,b,c,0.0,1.0
765,w,c,0.0,1.0
766,w,c,0.0,0.0
767,b,c,0.0,0.0
768,b,c,0.0,0.0
769,b,c,0.0,0.0
770,w,c,0.0,0.0
771,w,c,0.0,0.0
772,w,c,1.0,0.0
773,b,c,1.0,0.0
774,w,c,0.0,0.0
775,b,c,0.0,0.0
776,w,c,1.0,0.0
777,b,c,1.0,0.0
778,b,c,1.0,0.0
779,w,c,1.0,0.0
780,b,c,0.0,0.0
781,w,c,0.0,0.0
782,b,c,0.0,0.0
783,w,c,0.0,0.0
784,w,c,0.0,0.0
785,b,c,0.0,0.0
786,w,c,0.0,0.0
787,b,c,0.0,0.0
788,w,c,0.0,0.0
789,b,c,0.0,0.0
790,w,c,0.0,0.0
791,b,c,0.0,0.0
792,b,c,0.0,0.0
793,w,c,0.0,0.0
794,b,c,1.0,0.0
795,w,c,1.0,0.0
796,w,c,0.0,0.0
797,w,c,0.0,0.0
798,b,c,0.0,0.0
799,b,c,0.0,0.0
800,w,c,0.0,0.0
801,w,c,0.0,0.0
802,b,c,0.0,0.0
803,b,c,0.0,0.0
804,b,c,0.0,0.0
805,w,c,0.0,0.0
806,w,c,0.0,1.0
807,b,c,0.0,0.0
808,b,c,0.0,0.0
809,w,c,0.0,0.0
810,w,c,0.0,0.0
811,b,c,0.0,0.0
812,w,c,0.0,0.0
813,w,c,0.0,0.0
814,b,c,0.0,0.0
815,b,c,0.0,0.0
816,w,c,1.0,0.0
817,b,c,1.0,0.0
818,w,c,1.0,0.0
819,b,c,1.0,0.0
820,w,c,0.0,1.0
821,w,c,0.0,0.0
822,b,c,0.0,0.0
823,b,c,0.0,0.0
824,w,c,0.0,0.0
825,w,c,0.0,0.0
826,b,c,0.0,0.0
827,b,c,0.0,0.0
828,w,b,1.0,0.0
829,w,b,0.0,0.0
830,w,b,1.0,0.0
831,w,b,1.0,0.0
832,w,b,0.0,0.0
833,w,b,1.0,0.0
834,w,b,0.0,0.0
835,w,b,1.0,0.0
836,w,b,1.0,0.0
837,b,b,0.0,0.0
838,b,b,1.0,0.0
839,b,b,0.0,0.0
840,b,b,1.0,0.0
841,w,b,0.0,0.0
842,b,b,0.0,0.0
843,b,b,1.0,0.0
844,b,b,0.0,0.0
845,b,b,0.0,0.0
846,b,b,0.0,0.0
847,b,b,1.0,0.0
848,b,b,1.0,0.0
849,w,b,0.0,0.0
850,w,b,0.0,0.0
851,w,b,0.0,0.0
852,w,b,0.0,0.0
853,w,b,0.0,0.0
